Team,Attack,Defence,Played,Sch NPxG,Sch NPXG Ag
Arsenal,1.6385689677974395,1.2496971099615382,0,0,0
Aston Villa,1.2654411017869653,1.3922858464091077,0,0,0
Bournemouth,1.0423960649330093,1.6117530109347955,0,0,0
Brentford,1.158233726593411,1.5407479274504818,0,0,0
Brighton,1.157466761607704,1.2834929474078172,0,0,0
Chelsea,1.7727858786178263,1.0349062000399267,0,0,0
Crystal Palace,1.1397731734376262,1.3619764918982553,0,0,0
Everton,1.1504330269484928,1.5497078985482697,0,0,0
Fulham,1.1794165808906854,1.5893523215966814,0,0,0
Leeds United,1.180345860620476,1.7499938866891818,0,0,0
Leicester City,1.3769716987301734,1.5014017333827776,0,0,0
Liverpool,2.1494704474536293,0.9843273233888431,0,0,0
Manchester City,2.4059429838089237,0.966732756785384,0,0,0
Manchester Utd,1.647442420978091,1.293300050947439,0,0,0
Newcastle Utd,1.2170926674959615,1.328076743921575,0,0,0
Nott'ham Forest,1.026973655853519,1.6093890437650051,0,0,0
Southampton,1.132358315899105,1.7033267051731626,0,0,0
Tottenham,1.810746783741841,1.1232460534333786,0,0,0
West Ham,1.33501717595557,1.4132907287114727,0,0,0
Wolves,0.9857361519716873,1.4856086546770446,0,0,0
